postcode,name,search_postcode,latitude,longitude
74354,Besigheim,74354,49.000205244719034,9.157027553927625
57518,Betzdorf,57518,50.78695277975626,7.876412786797562
91282,Betzenstein,91282,49.67410553376455,11.41487609767141
37688,Beverungen,37688,51.66258751543368,9.357753908014455
88400,Biberach an der Riß,88400,48.0918040259719,9.792263675487655
35216,Biedenkopf,35216,50.91438254954521,8.519395025708935
33602 – 33739,Bielefeld,33602,52.021729117810175,8.535165000457404
16359,Biesenthal,16359,52.75888822688486,13.64673790981882
74321,Bietigheim-Bissingen,74321,48.951552356830604,9.122389706946196
48727,Billerbeck,48727,51.97969946494136,7.297253306221315
55411,Bingen am Rhein,55411,49.95250877358517,7.916820235711277
55765,Birkenfeld,55765,49.64807311698825,7.164069983724833
97653,Bischofsheim in der Rhön,97653,50.400568691332474,10.005354072962485
01877,Bischofswerda,01877,51.127098634319985,14.196395913890502
"39628, 39629",Bismark (Altmark),39628,52.64127676482214,11.682770760079052
54634,Bitburg,54634,49.971338857506204,6.526239455645161
"06749, 06766, 06803, 06808",Bitterfeld-Wolfen,06749,51.626129419741694,12.323424546540592
"06502 (Timmenrode),38889 (Blankenburg (Harz), Cattenstedt, Heimburg, Hüttenrode, Wienrode),38895 (Derenburg)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Blankenburg (Harz),06502,51.75072712585358,11.041437637114248
99444,Blankenhain,99444,50.85566203504425,11.35822238820059
89143,Blaubeuren,89143,48.41769184743183,9.796689765123652
89134,Blaustein,89134,48.4189769698087,9.901774119822567
"21354, 19273Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Bleckede,21354,53.28493277297688,10.739119320953757
99752,Bleicherode,99752,51.43354027078537,10.647338656567367
66440,Blieskastel,66440,49.22933318731884,7.24459174713768
32825,Blomberg,32825,51.94699723747677,9.06700298808993
78176,Blumberg,78176,47.83905805432526,8.544462017093426
86399,Bobingen,86399,48.27094480810526,10.812567648694737
"46395, 46397, 46399",Bocholt,46395,51.82597342943782,6.601834772386879
44787–44894,Bochum,44787,51.48190331970588,7.216740984044118
31167,Bockenem,31167,52.00358443037323,10.114700822007721
37619,Bodenwerder,37619,51.97129301546115,9.511489828166857
94327,Bogen,94327,48.91175908602041,12.694570014693877
19258,Boizenburg/Elbe,19258,53.39643804327654,10.756416459864505
"53111–53129, 53173–53179, 53225, 53227, 53229Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text Vorlage:Infobox Verwaltungseinheit in Deutschland/Wartung/PLZ falsch",Bonn,53111,50.73894437583355,7.097336136805376
79848,Bonndorf im Schwarzwald,79848,47.81760267065218,8.32646193152174
73441,Bopfingen,73441,48.86063804539061,10.35164228384828
56154,Boppard,56154,50.20456334647705,7.592025701874596
34434,Borgentreich,34434,51.57483774492661,9.253012019495852
33829,Borgholzhausen,33829,52.096267841405705,8.288532645581071
46325,Borken,46325,51.85746394507463,6.84830203847834
34582,Borken (Hessen),34582,51.052587266155086,9.285678587802908
26757,Borkum,26757,53.58644479029126,6.674215038531554
04552,Borna,04552,51.11898058285714,12.500477791471216
53332,Bornheim,53332,50.77251629378086,6.969070905646604
46236–46244,Bottrop,46236,51.52411691249722,6.9263598578912315
97944,Boxberg,97944,49.4897609782484,9.643588910681741
78199,Bräunlingen,78199,47.92441329427746,8.434640507398845
74336,Brackenheim,74336,49.07847831277288,9.071618735044044
26919,Brake (Unterweser),26919,53.32663807178363,8.472989111988305
33034,Brakel,33034,51.71127576828092,9.181751743874203
49565,Bramsche,49565,52.41138172568602,7.980541104032108
09618,Brand-Erbisdorf,09618,50.837350288878476,13.311120517619493
14770–14776,Brandenburg an der Havel,14770,52.412556608635334,12.533031968233296
"04821,04824 (Beucha)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Brandis,04821,51.32357677389937,12.624136158490565
56338,Braubach,56338,50.278118573164555,7.647915194556962
35619,Braunfels,35619,50.50961856893667,8.392964096511351
"38700, 37444Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Braunlage,38700,51.7102936154943,10.622638337309887
"06242, 06259Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Braunsbedra,06242,51.28068470793434,11.889362254400366
38100–38126,Braunschweig,38100,52.263993089511445,10.522694896241886
58339,Breckerfeld,58339,51.26335404144676,7.46493414613474
25821,Bredstedt,25821,54.604325210247744,8.9725878875
79206,Breisach am Rhein,79206,48.01879067976308,7.610346534649556
28195–28779,Bremen,28195,53.07895809561559,8.806178431178033
27568–27580,Bremerhaven,27568,53.553774090379015,8.576272992176872
27432,Bremervörde,27432,53.48529501472508,9.117765155670103
75015,Bretten,75015,49.041665500650446,8.703699876041917
64747,Breuberg,64747,49.82368925982553,9.032605037511479
59929,Brilon,59929,51.400431446792496,8.592222821885079
98596,Brotterode-Trusetal,98596,50.819510756010686,10.437932665538735
63486,Bruchköbel,63486,50.187914829636654,8.924168139940347
31675,Bückeburg,31675,52.269825156179955,9.041650845056031
24782,Büdelsdorf,24782,54.3201201120506,9.68024800818908
63654,Büdingen,63654,50.289673464861025,9.090490517545799
77815,Bühl,77815,48.697712453940476,8.135244144884405
32257,Bünde,32257,52.20012963895441,8.573861994065712
33142,Büren,33142,51.562810767902796,8.571996933979491
